iter	Passed	Remaining
537	3912	3360
538	3919	3352
539	3925	3343
540	3930	3335
541	3937	3327
542	3943	3318
543	3949	3310
544	3956	3303
545	3963	3295
546	3970	3287
547	3977	3281
548	3984	3273
549	3991	3265
550	3997	3257
551	4005	3250
552	4012	3243
553	4017	3234
554	4023	3226
555	4031	3219
556	4038	3211
557	4044	3204
558	4051	3196
559	4057	3187
560	4063	3180
561	4071	3172
562	4079	3166
563	4086	3158
564	4092	3150
565	4098	3142
566	4104	3134
567	4110	3126
568	4117	3118
569	4124	3111
570	4132	3104
571	4137	3095
572	4144	3088
573	4150	3080
574	4156	3072
575	4163	3065
576	4170	3057
577	4177	3050
578	4184	3042
579	4190	3034
580	4196	3026
581	4202	3018
582	4211	3012
583	4218	3004
584	4226	2998
585	4235	2992
586	4241	2983
587	4248	2976
588	4255	2969
589	4261	2961
590	4268	2953
591	4274	2946
592	4282	2939
593	4291	2933
594	4297	2925
595	4305	2918
596	4314	2912
597	4322	2906
598	4331	2899
599	4339	2893
600	4347	2886
601	4354	2878
602	4362	2872
603	4371	2866
604	4381	2860
605	4388	2853
606	4396	2846
607	4402	2838
608	4409	2830
609	4416	2823
610	4424	2816
611	4431	2809
612	4437	2801
613	4444	2794
614	4451	2786
615	4458	2779
616	4464	2771
617	4473	2765
618	4479	2757
619	4485	2749
620	4491	2741
621	4498	2733
622	4505	2726
623	4513	2719
624	4519	2711
625	4525	2703
626	4531	2695
627	4538	2688
628	4544	2680
629	4550	2672
630	4556	2664
631	4563	2657
632	4568	2648
633	4575	2641
634	4581	2633
635	4587	2625
636	4594	2618
637	4601	2611
638	4608	2603
639	4616	2597
640	4622	2589
641	4630	2581
642	4636	2574
643	4642	2566
644	4649	2558
645	4656	2551
646	4663	2544
647	4669	2536
648	4676	2529
649	4682	2521
650	4689	2513
651	4697	2507
652	4703	2499
653	4710	2492
654	4715	2483
655	4722	2476
656	4728	2468
657	4734	2461
658	4740	2453
659	4747	2445
660	4754	2438
661	4762	2431
662	4770	2424
663	4776	2417
664	4782	2409
665	4788	2401
666	4794	2393
667	4800	2385
668	4808	2379
669	4816	2372
670	4822	2364
671	4828	2356
672	4834	2348
673	4840	2341
674	4847	2333
675	4855	2327
676	4861	2319
677	4869	2312
678	4875	2304
679	4881	2297
680	4887	2289
681	4893	2281
682	4901	2274
683	4909	2268
684	4916	2261
685	4922	2253
686	4930	2246
687	4939	2239
688	4946	2232
689	4955	2226
690	4965	2220
691	4974	2214
692	4982	2207
693	4989	2199
694	4995	2192
695	5001	2184
696	5007	2176
697	5014	2169
698	5021	2162
699	5029	2155
700	5036	2148
701	5044	2141
702	5051	2134
703	5056	2126
704	5063	2118
705	5069	2111
706	5076	2103
707	5083	2096
708	5090	2089
709	5097	2081
710	5104	2074
711	5111	2067
712	5119	2060
713	5127	2053
714	5133	2046
715	5140	2038
716	5148	2031
717	5155	2024
718	5162	2017
719	5168	2010
720	5175	2002
721	5184	1996
722	5190	1988
723	5198	1981
724	5205	1974
725	5211	1967
726	5218	1959
727	5224	1952
